year,country,region,happiness_score,freedom_to_make_life_choices,social_support,gdp_per_capita,healthy_life_expectancy,perceptions_of_corruption,generosity,temperature
2016,Estonia,Central and Eastern Europe,5.517,0.41511,1.05163,1.27964,0.68098,0.18519,0.08423,6.48
2017,Estonia,Central and Eastern Europe,5.611000061,0.47913143,1.4766711,1.32087934,0.695168316,0.183248922,0.098890811,6.29
2018,Estonia,Central and Eastern Europe,5.739,0.553,1.532,1.2,0.737,0.174,0.086,7.02
2019,Estonia,Central and Eastern Europe,5.893,0.495,1.528,1.237,0.874,0.161,0.103,7.2
2020,Estonia,Central and Eastern Europe,6.021800041,0.576664805,1.453232527,1.192441225,0.842615008,0.201766819,0.125136748,8.14
2021,Estonia,Central and Eastern Europe,6.189,0.641,1.079,1.344,0.64,0.263,0.119,6.3
2022,Estonia,Central and Eastern Europe,6.341,0.689,1.232,1.793,0.728,0.333,0.123,6.9
2015,Ethiopia,Sub-Saharan Africa,4.512,0.4345,0.60406,0.19073,0.44055,0.15048,0.24325,23.94
2016,Ethiopia,Sub-Saharan Africa,4.508,0.36703,0.37932,0.29283,0.34578,0.1717,0.29522,23.92
2017,Ethiopia,Sub-Saharan Africa,4.460000038,0.408842742,0.864669204,0.339233845,0.353409708,0.165455714,0.31265074,23.64
2018,Ethiopia,Sub-Saharan Africa,4.35,0.452,0.95,0.308,0.391,0.146,0.22,23.26
2019,Ethiopia,Sub-Saharan Africa,4.286,0.344,1.033,0.336,0.532,0.1,0.209,23.42
2020,Ethiopia,Sub-Saharan Africa,4.186200142,0.41256687,1.001103282,0.315125644,0.483846247,0.117437035,0.227698103,23.35
2021,Ethiopia,Sub-Saharan Africa,4.275,0.451,0.679,0.37,0.331,0.114,0.241,23.41
2022,Ethiopia,Sub-Saharan Africa,4.241,0.472,0.809,0.788,0.457,0.136,0.205,23.45
2015,Finland,Western Europe,7.406,0.64169,1.31826,1.29025,0.88911,0.41372,0.23351,3.6
2016,Finland,Western Europe,7.413,0.57104,1.13464,1.40598,0.81091,0.41004,0.25492,2.97
2017,Finland,Western Europe,7.468999863,0.617950857,1.540246725,1.443571925,0.80915767,0.382611543,0.245482773,2.4
2018,Finland,Western Europe,7.632,0.681,1.592,1.305,0.874,0.393,0.202,3.1
2019,Finland,Western Europe,7.769,0.596,1.587,1.34,0.986,0.393,0.153,2.67
2020,Finland,Western Europe,7.808700085,0.66231674,1.499525905,1.285189509,0.961271405,0.477857262,0.159670442,4.15
2021,Finland,Western Europe,7.842,0.691,1.106,1.446,0.741,0.481,0.124,2.34
2022,Finland,Western Europe,7.821,0.736,1.258,1.892,0.775,0.534,0.109,3.24
2015,France,Western Europe,6.575,0.55011,1.26038,1.27778,0.94579,0.20646,0.12332,12.17
2016,France,Western Europe,6.478,0.46562,1.00508,1.39488,0.83795,0.17808,0.1216,11.74
2017,France,Western Europe,6.441999912,0.470222116,1.387776852,1.430923462,0.844465852,0.172502428,0.129762307,11.96
2018,France,Western Europe,6.489,0.52,1.466,1.293,0.908,0.176,0.098,12.64
2019,France,Western Europe,6.592,0.436,1.472,1.324,1.045,0.183,0.111,12.38
2020,France,Western Europe,6.663799763,0.514050901,1.458839178,1.268129349,1.029714227,0.227303237,0.112607703,12.73
2021,France,Western Europe,6.69,0.536,1.081,1.421,0.804,0.235,0.092,11.58
2022,France,Western Europe,6.687,0.567,1.219,1.863,0.808,0.266,0.07,13.16
2015,Gabon,Sub-Saharan Africa,3.896,0.31914,0.90528,1.06024,0.43372,0.11091,0.06822,25.38
2016,Gabon,Sub-Saharan Africa,4.121,0.28098,0.72368,1.15851,0.3494,0.09314,0.06244,25.67
2017,Gabon,Sub-Saharan Africa,4.465000153,0.312328577,1.155620217,1.198210239,0.356578588,0.076046787,0.043785378,25.33
2018,Gabon,Sub-Saharan Africa,4.758,0.356,1.164,1.036,0.404,0.052,0.032,25.54
2019,Gabon,Sub-Saharan Africa,4.799,0.295,1.183,1.057,0.571,0.055,0.043,25.41
2020,Gabon,Sub-Saharan Africa,4.829299927,0.369459897,1.10639751,0.988044381,0.522574842,0.055804539,0.052013602,25.73
2021,Gabon,Sub-Saharan Africa,4.852,0.424,0.707,1.037,0.362,0.064,0.058,25.66
2022,Gabon,Sub-Saharan Africa,4.958,0.343,0.738,1.459,0.396,0.099,0.032,25.46
2015,Georgia,Central and Eastern Europe,4.297,0.40577,0.38562,0.7419,0.72926,0.38331,0.05547,9.59
2016,Georgia,Central and Eastern Europe,4.252,0.32461,0.19249,0.83792,0.64035,0.3188,0.06786,9.16
2017,Georgia,Central and Eastern Europe,4.285999775,0.309410036,0.570614934,0.950612664,0.649546981,0.251666635,0.054008815,9.38
2018,Georgia,Central and Eastern Europe,4.34,0.375,0.592,0.853,0.643,0.215,0.038,10.55
2019,Georgia,Central and Eastern Europe,4.519,0.346,0.666,0.886,0.752,0.164,0.043,9.97
2020,Georgia,Central and Eastern Europe,4.672599792,0.485494107,0.7311939,0.847198069,0.694657624,0.174088076,0.047609735,9.91
2021,Georgia,Central and Eastern Europe,4.891,0.488,0.47,1.03,0.498,0.181,0.032,10.05
2022,Georgia,Central and Eastern Europe,4.973,0.508,0.612,1.467,0.595,0.208,0.0,9.92
2015,Germany,Western Europe,6.75,0.61477,1.29937,1.32792,0.89186,0.21843,0.28214,10.32
2016,Germany,Western Europe,6.994,0.53466,1.09774,1.44787,0.81487,0.28551,0.30452,9.86
2017,Germany,Western Europe,6.951000214,0.562511384,1.472520351,1.487923384,0.798950732,0.276731938,0.33626917,9.91
2018,Germany,Western Europe,6.965,0.586,1.474,1.34,0.861,0.28,0.273,10.73
2019,Germany,Western Europe,6.985,0.495,1.454,1.373,0.987,0.265,0.261,10.54
2020,Germany,Western Europe,7.075799942,0.564274132,1.368543744,1.314184546,0.972114801,0.309362292,0.252037704,10.78
2021,Germany,Western Europe,7.155,0.6,0.993,1.48,0.757,0.306,0.195,9.49
2022,Germany,Western Europe,7.034,0.585,1.088,1.924,0.776,0.358,0.163,10.83
2015,Ghana,Sub-Saharan Africa,4.633,0.42342,0.67954,0.54558,0.40132,0.04355,0.23087,27.95
2016,Ghana,Sub-Saharan Africa,4.276,0.40973,0.49353,0.63107,0.29681,0.0326,0.21203,28.21
2017,Ghana,Sub-Saharan Africa,4.119999886,0.423026294,0.873664737,0.667224824,0.295637727,0.02533637,0.256923944,28.04
2018,Ghana,Sub-Saharan Africa,4.657,0.499,0.896,0.592,0.337,0.029,0.212,27.95
2019,Ghana,Sub-Saharan Africa,4.996,0.381,0.868,0.611,0.486,0.04,0.245,27.81
2020,Ghana,Sub-Saharan Africa,5.147999763,0.477290064,0.96636796,0.575862467,0.432162255,0.056570381,0.261291206,28.1
2021,Ghana,Sub-Saharan Africa,5.088,0.517,0.595,0.68,0.287,0.058,0.268,28.3
2022,Ghana,Sub-Saharan Africa,4.872,0.5,0.595,1.112,0.409,0.056,0.23,27.73
2015,Greece,Western Europe,4.857,0.07699,0.92933,1.15406,0.88213,0.01397,0.0,14.35
2016,Greece,Western Europe,5.033,0.05822,0.75473,1.24886,0.80029,0.04127,0.0,14.84
2017,Greece,Western Europe,5.227000237,0.095731251,1.239414573,1.289487481,0.810198903,0.043289777,0.0,14.51
2018,Greece,Western Europe,5.358,0.131,1.202,1.154,0.879,0.044,0.0,15.2
2019,Greece,Western Europe,5.287,0.067,1.156,1.181,0.999,0.034,0.0,15.16
2020,Greece,Western Europe,5.514999866,0.173516348,1.168973565,1.128070116,0.979431748,0.048844352,0.0,15.01
2021,Greece,Western Europe,5.723,0.243,0.811,1.273,0.76,0.074,0.0,15.09
2022,Greece,Western Europe,5.948,0.249,0.98,1.703,0.774,0.108,0.015,14.88
2015,Guatemala,Latin America and Caribbean,6.123,0.57733,1.04356,0.74553,0.64425,0.09472,0.27489,24.15
2016,Guatemala,Latin America and Caribbean,6.324,0.50379,0.87119,0.83454,0.54039,0.08701,0.28808,24.26
2017,Guatemala,Latin America and Caribbean,6.453999996,0.531310618,1.255585194,0.872001946,0.54023999,0.077223279,0.283488393,24.05
2018,Guatemala,Latin America and Caribbean,6.382,0.604,1.268,0.781,0.608,0.071,0.179,23.5
2019,Guatemala,Latin America and Caribbean,6.436,0.535,1.269,0.8,0.746,0.078,0.175,23.99
2020,Guatemala,Latin America and Caribbean,6.398900032,0.613146722,1.174267054,0.753815711,0.705952585,0.0983603,0.170611665,24.34
2021,Guatemala,Latin America and Caribbean,6.435,0.638,0.79,0.845,0.519,0.105,0.163,24.08
2022,Guatemala,Latin America and Caribbean,6.262,0.662,0.831,1.274,0.522,0.115,0.112,23.77
2015,Guinea,Sub-Saharan Africa,3.656,0.37725,0.46475,0.17417,0.24009,0.12139,0.28657,26.07
2016,Guinea,Sub-Saharan Africa,3.607,0.30953,0.3109,0.22415,0.18829,0.1192,0.29914,26.31
2017,Guinea,Sub-Saharan Africa,3.506999969,0.348587513,0.791244686,0.24454993,0.194129139,0.110937618,0.264815092,26.24
2018,Guinea,Sub-Saharan Africa,3.964,0.394,0.792,0.344,0.211,0.094,0.185,26.1
2019,Guinea,Sub-Saharan Africa,4.534,0.332,0.829,0.38,0.375,0.086,0.207,25.86
2020,Guinea,Sub-Saharan Africa,4.949299812,0.371878058,0.75136596,0.390007734,0.333655238,0.112204559,0.249490842,26.34
2021,Guinea,Sub-Saharan Africa,4.984,0.384,0.399,0.42,0.206,0.111,0.25,26.6
2022,Guinea,Sub-Saharan Africa,4.891,0.334,0.566,0.848,0.275,0.116,0.214,25.95
2015,Honduras,Latin America and Caribbean,4.788,0.40148,0.95348,0.59532,0.6951,0.06825,0.23027,25.15
2016,Honduras,Latin America and Caribbean,4.871,0.26755,0.75596,0.69429,0.58383,0.06906,0.2044,25.18
2017,Honduras,Latin America and Caribbean,5.181000233,0.34807986,1.143944979,0.730573118,0.58256948,0.073345453,0.236188874,25.0
2018,Honduras,Latin America and Caribbean,5.504,0.459,1.205,0.62,0.622,0.074,0.197,24.51
2019,Honduras,Latin America and Caribbean,5.86,0.507,1.236,0.642,0.828,0.078,0.246,24.96
2020,Honduras,Latin America and Caribbean,5.953199863,0.568148077,1.186664104,0.598763585,0.791989982,0.086807102,0.256528199,25.21
2021,Honduras,Latin America and Caribbean,5.919,0.578,0.787,0.703,0.593,0.083,0.241,25.03
2022,Honduras,Latin America and Caribbean,6.022,0.582,0.885,1.111,0.555,0.076,0.202,24.71
2015,Hungary,Central and Eastern Europe,4.8,0.32112,1.20215,1.12094,0.75905,0.02758,0.128,12.4
2016,Hungary,Central and Eastern Europe,5.145,0.1977,0.93164,1.24142,0.67608,0.04472,0.099,11.79
2017,Hungary,Central and Eastern Europe,5.323999882,0.175863519,1.343133092,1.286011934,0.687763453,0.036636937,0.078401662,11.86
2018,Hungary,Central and Eastern Europe,5.62,0.259,1.401,1.171,0.732,0.022,0.061,12.72
2019,Hungary,Central and Eastern Europe,5.758,0.199,1.41,1.201,0.828,0.02,0.081,12.86
2020,Hungary,Central and Eastern Europe,6.000400066,0.386401802,1.423009396,1.164307117,0.806793869,0.027548173,0.070491239,12.24
2021,Hungary,Central and Eastern Europe,5.992,0.454,1.083,1.301,0.615,0.04,0.067,11.58
2022,Hungary,Central and Eastern Europe,6.086,0.485,1.233,1.748,0.668,0.064,0.078,12.62
2015,Iceland,Western Europe,7.561,0.62877,1.40223,1.30232,0.94784,0.14145,0.4363,1.44
2016,Iceland,Western Europe,7.501,0.56624,1.18326,1.42666,0.86733,0.14975,0.47678,2.68
2017,Iceland,Western Europe,7.504000187,0.627162635,1.610574007,1.48063302,0.833552122,0.153526559,0.475540221,2.47
2018,Iceland,Western Europe,7.495,0.677,1.644,1.343,0.914,0.138,0.353,2.26
2019,Iceland,Western Europe,7.494,0.591,1.624,1.38,1.026,0.118,0.354,2.31
2020,Iceland,Western Europe,7.504499912,0.661980748,1.547567487,1.326501608,1.000843406,0.144540772,0.362330228,2.03
2021,Iceland,Western Europe,7.554,0.698,1.172,1.482,0.772,0.17,0.293,2.43
2022,Iceland,Western Europe,7.557,0.718,1.32,1.936,0.803,0.191,0.27,2.11
2015,Indonesia,Southeast Asia,5.399,0.46611,1.08708,0.82827,0.63793,0.0,0.51535,26.13
2016,Indonesia,Southeast Asia,5.314,0.39237,0.87625,0.95104,0.49374,0.00322,0.56521,26.24
2017,Indonesia,Southeast Asia,5.262000084,0.443323463,1.274444699,0.995538592,0.492345721,0.015317135,0.611704588,26.05
2018,Indonesia,Southeast Asia,5.093,0.538,1.215,0.899,0.522,0.018,0.484,26.06
2019,Indonesia,Southeast Asia,5.192,0.491,1.203,0.931,0.66,0.028,0.498,26.21
2020,Indonesia,Southeast Asia,5.285600185,0.568161428,1.154800892,0.891720712,0.610437036,0.038278613,0.542646527,26.2
2021,Indonesia,Southeast Asia,5.345,0.598,0.786,0.954,0.433,0.046,0.541,26.01
2022,Indonesia,Southeast Asia,5.24,0.62,0.883,1.382,0.539,0.047,0.468,25.96
2015,Iran,Middle East and North Africa,4.686,0.30033,0.54447,1.0088,0.69805,0.05863,0.38086,18.93
2016,Iran,Middle East and North Africa,4.813,0.22544,0.38857,1.11758,0.64232,0.0557,0.38538,19.03
2017,Iran,Middle East and North Africa,4.691999912,0.249322608,0.711551249,1.156873107,0.639333189,0.048761073,0.387242913,18.84
2018,Iran,Middle East and North Africa,4.707,0.459,0.771,1.059,0.691,0.129,0.282,19.34
2019,Iran,Middle East and North Africa,4.548,0.305,0.842,1.1,0.785,0.125,0.27,18.84
2020,Iran,Middle East and North Africa,4.672399998,0.301195472,0.886271179,1.029322505,0.749053836,0.142651513,0.27697894,18.38
2021,Iran,Middle East and North Africa,4.721,0.275,0.557,1.03,0.561,0.144,0.33,19.57
2022,Iran,Middle East and North Africa,4.888,0.281,0.741,1.41,0.642,0.146,0.241,19.3
2015,Iraq,Middle East and North Africa,4.677,0.0,0.81889,0.98549,0.60237,0.13788,0.17922,23.53
2016,Iraq,Middle East and North Africa,4.575,0.24856,0.59205,1.07474,0.51076,0.13636,0.19589,23.31
2017,Iraq,Middle East and North Africa,4.497000217,0.288555533,0.978613198,1.102710485,0.50118047,0.107215755,0.199637264,23.36
2018,Iraq,Middle East and North Africa,4.456,0.304,0.971,1.01,0.536,0.095,0.148,24.15
2019,Iraq,Middle East and North Africa,4.437,0.241,0.98,1.043,0.574,0.089,0.148,23.51
2020,Iraq,Middle East and North Africa,4.784800053,0.283588052,1.011466622,0.982018709,0.529350698,0.073164992,0.153002068,23.44
2021,Iraq,Middle East and North Africa,4.854,0.302,0.638,0.91,0.381,0.041,0.153,24.21
2022,Iraq,Middle East and North Africa,4.941,0.328,0.682,1.289,0.554,0.046,0.147,23.81
2015,Israel,Middle East and North Africa,7.278,0.41319,1.22393,1.22857,0.91387,0.07785,0.33172,20.29
2016,Israel,Middle East and North Africa,7.267,0.36432,0.99537,1.33766,0.84917,0.08728,0.32288,20.67
2017,Israel,Middle East and North Africa,7.212999821,0.405988604,1.376289964,1.375382423,0.838404,0.0852421,0.330082655,20.31
2018,Israel,Middle East and North Africa,6.814,0.533,1.559,1.301,0.883,0.272,0.354,20.99
2019,Israel,Middle East and North Africa,7.139,0.371,1.455,1.276,1.029,0.082,0.261,20.42
2020,Israel,Middle East and North Africa,7.128600121,0.420699477,1.403256774,1.216463685,1.008052945,0.09989845,0.266861796,20.41
2021,Israel,Middle East and North Africa,7.157,0.509,1.074,1.376,0.788,0.119,0.208,20.86
2022,Israel,Middle East and North Africa,7.364,0.568,1.221,1.826,0.818,0.143,0.155,20.23
2015,Italy,Western Europe,5.948,0.26236,1.19777,1.25114,0.95446,0.02901,0.22823,13.8
2016,Italy,Western Europe,5.977,0.18827,1.04167,1.35495,0.85102,0.02556,0.16684,13.58
2017,Italy,Western Europe,5.964000225,0.256450713,1.444923282,1.395066619,0.853144348,0.028028091,0.172789648,13.46
2018,Italy,Western Europe,6.0,0.281,1.501,1.264,0.946,0.028,0.137,14.1
2019,Italy,Western Europe,6.223,0.231,1.488,1.294,1.039,0.03,0.158,13.94
2020,Italy,Western Europe,6.38740015,0.321305573,1.347296,1.236396074,1.022504926,0.040145598,0.170266211,13.83
2021,Italy,Western Europe,6.483,0.379,0.94,1.393,0.798,0.047,0.133,13.52
2022,Italy,Western Europe,6.467,0.412,1.052,1.834,0.801,0.059,0.085,14.38
2015,Ivory Coast,Sub-Saharan Africa,3.655,0.46866,0.77115,0.46534,0.15185,0.17922,0.20165,27.03
2016,Ivory Coast,Sub-Saharan Africa,3.916,0.40663,0.57576,0.55507,0.04476,0.1553,0.20338,27.31
2017,Ivory Coast,Sub-Saharan Africa,4.179999828,0.447706193,0.90478003,0.603048921,0.04864217,0.130061775,0.20123747,27.17
2018,Ivory Coast,Sub-Saharan Africa,4.671,0.467,0.872,0.541,0.08,0.103,0.146,27.02
2019,Ivory Coast,Sub-Saharan Africa,4.944,0.352,0.808,0.569,0.232,0.09,0.154,26.83
2020,Ivory Coast,Sub-Saharan Africa,5.233300209,0.397122532,0.799727261,0.537094414,0.154942513,0.093495794,0.169915587,27.18
2021,Ivory Coast,Sub-Saharan Africa,5.306,0.438,0.409,0.669,0.052,0.092,0.177,27.37
2022,Ivory Coast,Sub-Saharan Africa,5.235,0.451,0.442,1.094,0.322,0.124,0.149,26.84
2015,Jamaica,Latin America and Caribbean,5.709,0.50442,1.15102,0.81038,0.68741,0.02299,0.2123,26.52
2016,Jamaica,Latin America and Caribbean,5.51,0.43597,0.96372,0.89333,0.59469,0.04294,0.22245,26.26
2017,Jamaica,Latin America and Caribbean,5.31099987,0.474307239,1.368218064,0.925579309,0.641022384,0.055267781,0.233818337,26.14
2018,Jamaica,Latin America and Caribbean,5.89,0.575,1.493,0.819,0.693,0.031,0.096,26.1
2019,Jamaica,Latin America and Caribbean,5.89,0.49,1.478,0.831,0.831,0.028,0.107,26.3
2020,Jamaica,Latin America and Caribbean,5.889800072,0.553124607,1.408289194,0.779058397,0.788434088,0.030147785,0.116268493,26.32
2021,Jamaica,Latin America and Caribbean,6.309,0.618,0.932,0.891,0.599,0.035,0.099,26.07
2022,Jamaica,Latin America and Caribbean,5.85,0.567,1.045,1.296,0.646,0.053,0.08,26.02
2015,Japan,East Asia,5.987,0.49615,1.25712,1.27074,0.99111,0.1806,0.10705,12.18
2016,Japan,East Asia,5.921,0.46761,1.06054,1.38007,0.91491,0.18985,0.10224,12.24
2017,Japan,East Asia,5.920000076,0.505625546,1.436337829,1.416915178,0.913475871,0.163760737,0.120572768,11.66
2018,Japan,East Asia,5.915,0.553,1.462,1.294,0.988,0.15,0.079,12.23
2019,Japan,East Asia,5.886,0.445,1.419,1.327,1.088,0.14,0.069,12.4
2020,Japan,East Asia,5.870800018,0.495465875,1.332338691,1.26672411,1.072881341,0.181439638,0.03571178,12.41
2021,Japan,East Asia,5.94,0.504,0.949,1.389,0.838,0.192,0.02,12.45
2022,Japan,East Asia,6.039,0.537,1.089,1.835,0.866,0.218,0.007,12.42
2015,Jordan,Middle East and North Africa,5.192,0.40661,1.05392,0.90198,0.69639,0.14293,0.11053,19.83
2016,Jordan,Middle East and North Africa,5.303,0.36023,0.86216,0.99673,0.60712,0.13297,0.14262,20.09
2017,Jordan,Middle East and North Africa,5.335999966,0.418421149,1.239088893,0.991012394,0.604590058,0.119803272,0.17217046,19.83
2018,Jordan,Middle East and North Africa,5.161,0.468,1.265,0.822,0.645,0.134,0.13,20.44
2019,Jordan,Middle East and North Africa,4.906,0.383,1.225,0.837,0.815,0.13,0.11,19.89
2020,Jordan,Middle East and North Africa,4.633399963,0.424855083,1.140118599,0.785179198,0.777624726,0.151878625,0.091494769,19.92
2021,Jordan,Middle East and North Africa,4.395,0.455,0.685,0.89,0.583,0.15,0.079,20.36
2022,Jordan,Middle East and North Africa,4.152,0.476,0.724,1.324,0.675,0.2,0.058,19.77
2015,Kazakhstan,Commonwealth of Independent States,5.855,0.51649,1.12241,1.12254,0.64368,0.08454,0.11827,7.87
2016,Kazakhstan,Commonwealth of Independent States,5.919,0.4052,0.95544,1.22943,0.57386,0.11132,0.15011,7.77
2017,Kazakhstan,Commonwealth of Independent States,5.818999767,0.437454283,1.384369016,1.28455627,0.606041551,0.119282886,0.201964423,7.59
2018,Kazakhstan,Commonwealth of Independent States,5.79,0.454,1.516,1.143,0.631,0.121,0.148,6.49
2019,Kazakhstan,Commonwealth of Independent States,5.809,0.41,1.508,1.173,0.729,0.096,0.146,7.83
2020,Kazakhstan,Commonwealth of Independent States,6.057899952,0.497432142,1.453267694,1.122594237,0.698788941,0.110463686,0.153713793,8.31
2021,Kazakhstan,Commonwealth of Independent States,6.152,0.573,1.103,1.23,0.527,0.132,0.143,7.83
2022,Kazakhstan,Commonwealth of Independent States,6.234,0.584,1.22,1.668,0.611,0.157,0.134,8.06
2015,Kenya,Sub-Saharan Africa,4.419,0.42215,0.99876,0.36471,0.41435,0.05839,0.37542,25.21
2016,Kenya,Sub-Saharan Africa,4.356,0.40576,0.7624,0.52267,0.30147,0.06686,0.41328,25.56
2017,Kenya,Sub-Saharan Africa,4.552999973,0.452763766,1.067950726,0.560479462,0.30998835,0.064641319,0.444860309,25.36
2018,Kenya,Sub-Saharan Africa,4.41,0.504,1.048,0.493,0.454,0.055,0.352,25.01
2019,Kenya,Sub-Saharan Africa,4.509,0.431,0.983,0.512,0.581,0.053,0.372,25.45
2020,Kenya,Sub-Saharan Africa,4.583000183,0.519180536,0.905077755,0.476413399,0.536312759,0.067201078,0.393902093,25.42
2021,Kenya,Sub-Saharan Africa,4.607,0.483,0.508,0.603,0.385,0.073,0.375,25.25
2022,Kenya,Sub-Saharan Africa,4.543,0.44,0.605,1.032,0.401,0.082,0.322,25.22
2015,Kuwait,Middle East and North Africa,6.295,0.55499,1.16594,1.55422,0.72492,0.25609,0.16228,27.06
2016,Kuwait,Middle East and North Africa,6.239,0.43166,0.87758,1.61714,0.63569,0.23669,0.15965,27.01
2017,Kuwait,Middle East and North Africa,6.105000019,0.496337593,1.259698749,1.632952452,0.632105708,0.21515955,0.228289798,27.0
2018,Kuwait,Middle East and North Africa,6.083,0.554,1.301,1.474,0.675,0.106,0.167,27.47
2019,Kuwait,Middle East and North Africa,6.021,0.493,1.319,1.5,0.808,0.097,0.142,27.01
2020,Kuwait,Middle East and North Africa,6.102099895,0.570261419,1.244779825,1.424833655,0.776468933,0.112814933,0.132751092,26.9
2021,Kuwait,Middle East and North Africa,6.106,0.591,0.857,1.461,0.58,0.13,0.12,27.89
2022,Kuwait,Middle East and North Africa,6.106,0.617,0.983,1.904,0.747,0.147,0.087,27.58
2015,Kyrgyzstan,Commonwealth of Independent States,5.286,0.43477,1.15115,0.47428,0.65088,0.04232,0.3003,3.36
2016,Kyrgyzstan,Commonwealth of Independent States,5.185,0.40212,0.95434,0.56044,0.55449,0.04762,0.38432,3.4
2017,Kyrgyzstan,Commonwealth of Independent States,5.004000187,0.454943389,1.394238591,0.596220076,0.553457797,0.039439179,0.428580374,2.8
2018,Kyrgyzstan,Commonwealth of Independent States,5.131,0.54,1.416,0.53,0.594,0.035,0.281,2.75
2019,Kyrgyzstan,Commonwealth of Independent States,5.261,0.508,1.438,0.551,0.723,0.023,0.3,3.36
2020,Kyrgyzstan,Commonwealth of Independent States,5.541500092,0.614617765,1.341036677,0.513180971,0.680645883,0.030466691,0.30137074,2.75
2021,Kyrgyzstan,Commonwealth of Independent States,5.744,0.673,0.971,0.665,0.501,0.02,0.266,3.36
2022,Kyrgyzstan,Commonwealth of Independent States,5.828,0.693,1.109,1.069,0.638,0.025,0.208,3.93
2015,Latvia,Central and Eastern Europe,5.098,0.29671,1.09562,1.11312,0.72437,0.06332,0.18226,7.94
2016,Latvia,Central and Eastern Europe,5.56,0.27996,0.95025,1.21788,0.63952,0.0889,0.17445,7.08
2017,Latvia,Central and Eastern Europe,5.849999905,0.325707912,1.404714942,1.260748625,0.638566971,0.073842727,0.153074786,6.92
2018,Latvia,Central and Eastern Europe,5.933,0.363,1.454,1.148,0.671,0.066,0.092,7.6
2019,Latvia,Central and Eastern Europe,5.94,0.264,1.465,1.187,0.812,0.064,0.075,7.98
2020,Latvia,Central and Eastern Europe,5.949999809,0.329198807,1.414398789,1.14139545,0.777902424,0.090391524,0.075407945,8.56
2021,Latvia,Central and Eastern Europe,6.032,0.405,1.047,1.285,0.587,0.089,0.082,6.82
2022,Latvia,Central and Eastern Europe,6.18,0.502,1.221,1.732,0.637,0.09,0.075,7.4
2015,Lebanon,Middle East and North Africa,4.839,0.33916,0.80001,1.02564,0.83947,0.04582,0.21854,15.53
2016,Lebanon,Middle East and North Africa,5.129,0.26228,0.64184,1.12268,0.76171,0.03061,0.23693,15.98
2017,Lebanon,Middle East and North Africa,5.224999905,0.288515985,1.129624248,1.074987531,0.735081077,0.03751383,0.264450759,15.72
2018,Lebanon,Middle East and North Africa,5.358,0.503,1.179,0.965,0.785,0.136,0.214,16.46
2019,Lebanon,Middle East and North Africa,5.197,0.216,1.224,0.987,0.815,0.027,0.166,15.86
2020,Lebanon,Middle East and North Africa,4.771500111,0.18551667,1.19249332,0.889232516,0.788671136,0.021518147,0.158524141,15.99
2021,Lebanon,Middle East and North Africa,4.584,0.175,0.868,1.045,0.595,0.026,0.14,16.2
2022,Lebanon,Middle East and North Africa,2.955,0.103,0.498,1.392,0.631,0.034,0.082,15.66
2015,Liberia,Sub-Saharan Africa,4.571,0.28531,0.78968,0.0712,0.34201,0.06232,0.24362,25.64
2016,Liberia,Sub-Saharan Africa,3.622,0.25748,0.50353,0.10706,0.23165,0.04852,0.24063,25.93
2017,Liberia,Sub-Saharan Africa,3.532999992,0.332881182,0.872117937,0.119041793,0.229918197,0.038948249,0.266549885,25.8
2018,Liberia,Sub-Saharan Africa,3.495,0.419,0.858,0.076,0.267,0.03,0.206,25.62
2019,Liberia,Sub-Saharan Africa,3.975,0.37,0.922,0.073,0.443,0.033,0.233,25.44
2020,Liberia,Sub-Saharan Africa,4.557899952,0.405943096,0.920733929,0.174103007,0.392284274,0.051139876,0.226967871,25.73
2021,Liberia,Sub-Saharan Africa,4.625,0.43,0.58,0.228,0.253,0.057,0.221,25.87
2022,Liberia,Sub-Saharan Africa,5.122,0.405,0.67,0.636,0.309,0.08,0.178,25.47
2015,Libya,Middle East and North Africa,5.754,0.41668,1.11862,1.13145,0.7038,0.11023,0.18295,22.57
2016,Libya,Middle East and North Africa,5.615,0.40672,0.95076,1.06688,0.52304,0.10339,0.17087,23.0
2017,Libya,Middle East and North Africa,5.525000095,0.46573323,1.35756433,1.101803064,0.52016902,0.09261021,0.152073666,22.56
2018,Libya,Middle East and North Africa,5.566,0.496,1.35,0.985,0.553,0.148,0.116,23.05
2019,Libya,Middle East and North Africa,5.525,0.416,1.303,1.044,0.673,0.152,0.133,22.65
2020,Libya,Middle East and North Africa,5.488800049,0.451354057,1.196283698,1.021913767,0.615626633,0.172258079,0.142757699,22.63
2021,Libya,Middle East and North Africa,5.41,0.474,0.821,1.044,0.435,0.174,0.131,23.05
2022,Libya,Middle East and North Africa,5.33,0.477,0.943,1.476,0.606,0.179,0.106,22.8
2015,Luxembourg,Western Europe,6.946,0.61583,1.21963,1.56391,0.91894,0.37798,0.28034,10.52
2016,Luxembourg,Western Europe,6.871,0.5487,1.03999,1.69752,0.84542,0.35329,0.27571,10.09
2017,Luxembourg,Western Europe,6.862999916,0.596627891,1.457583666,1.741943598,0.845089495,0.318834424,0.283180982,10.41
2018,Luxembourg,Western Europe,6.91,0.632,1.52,1.576,0.896,0.321,0.196,11.13
2019,Luxembourg,Western Europe,7.09,0.526,1.479,1.609,1.012,0.316,0.194,10.79
2020,Luxembourg,Western Europe,7.237500191,0.610137045,1.387528419,1.536676049,0.986442685,0.367041469,0.19595392,11.29
