year,country,region,happiness_score,healthy_life_expectancy,social_support,generosity,gdp_per_capita,perceptions_of_corruption,freedom_to_make_life_choices,temperature,fertility_rate
2015,Cyprus,Western Europe,5.689,0.92356,0.89318,0.30638,1.20813,0.06146,0.40672,18.91,1.311
2016,Cyprus,Western Europe,5.546,0.8488,0.70697,0.27906,1.31857,0.05228,0.29507,19.61,1.311
2017,Cyprus,Western Europe,5.620999813,0.844714701,1.131363273,0.271254301,1.355938077,0.041237976,0.355111539,19.21,1.311
2018,Cyprus,Western Europe,5.762,0.909,1.191,0.202,1.229,0.035,0.423,20.12,1.311
2019,Cyprus,Western Europe,6.046,1.042,1.223,0.19,1.263,0.041,0.406,19.49,1.311
2020,Cyprus,Western Europe,6.15899992,1.026124597,1.149170756,0.227932334,1.21279943,0.051207144,0.459385872,19.78,1.311
2021,Cyprus,Western Europe,6.223,0.801,0.765,0.178,1.377,0.061,0.464,19.87,1.311
2022,Cyprus,Western Europe,6.221,0.819,0.909,0.123,1.815,0.062,0.448,19.33,1.311
2015,Czechia,Central and Eastern Europe,6.505,0.84483,1.20643,0.10686,1.17898,0.02652,0.46364,-1.0,1.61774660294866
2016,Czechia,Central and Eastern Europe,6.596,0.76376,1.00793,0.09929,1.30915,0.03986,0.41418,-1.0,1.61774660294866
2017,Czechia,Central and Eastern Europe,6.609000206,0.754444003,1.433885217,0.088106759,1.352682352,0.036872927,0.490946174,-1.0,1.61774660294866
2018,Czechia,Central and Eastern Europe,6.711,0.854,1.489,0.064,1.233,0.034,0.543,-1.0,1.61774660294866
2019,Czechia,Central and Eastern Europe,6.852,0.92,1.487,0.046,1.269,0.036,0.457,-1.0,1.61774660294866
2020,Czechia,Central and Eastern Europe,6.910900116,0.89456445,1.40528667,0.046325929,1.212322354,0.049803223,0.505744576,-1.0,1.61774660294866
2021,Czechia,Central and Eastern Europe,6.965,0.703,1.09,0.052,1.37,0.046,0.58,-1.0,1.61774660294866
2022,Czechia,Central and Eastern Europe,6.92,0.715,1.26,0.158,1.815,0.048,0.66,-1.0,1.61774660294866
2015,Denmark,Western Europe,7.527,0.87464,1.36058,0.34139,1.32548,0.48357,0.64938,9.38,1.55
2016,Denmark,Western Europe,7.526,0.79504,1.16374,0.36171,1.44178,0.44453,0.57941,9.14,1.55
2017,Denmark,Western Europe,7.521999836,0.792565525,1.551121593,0.355280489,1.482383013,0.400770068,0.626006722,9.05,1.55
2018,Denmark,Western Europe,7.555,0.868,1.59,0.284,1.351,0.408,0.683,9.69,1.55
2019,Denmark,Western Europe,7.6,0.996,1.573,0.252,1.383,0.41,0.592,9.71,1.55
2020,Denmark,Western Europe,7.645599842,0.979332566,1.503449202,0.242793396,1.326948524,0.495260328,0.665039897,10.08,1.55
2021,Denmark,Western Europe,7.62,0.763,1.108,0.208,1.502,0.485,0.686,8.96,1.55
2022,Denmark,Western Europe,7.636,0.777,1.243,0.188,1.953,0.532,0.719,9.77,1.55
2015,Dominican Republic,Latin America and Caribbean,4.885,0.66825,1.17202,0.21684,0.89537,0.14234,0.57672,25.1,2.247
2016,Dominican Republic,Latin America and Caribbean,5.155,0.57669,0.99496,0.21286,1.02787,0.12372,0.52259,24.93,2.247
2017,Dominican Republic,Latin America and Caribbean,5.230000019,0.574873745,1.402416706,0.18696785,1.079373837,0.113945253,0.552589834,24.74,2.247
2018,Dominican Republic,Latin America and Caribbean,5.302,0.614,1.441,0.12,0.982,0.106,0.578,24.61,2.247
2019,Dominican Republic,Latin America and Caribbean,5.425,0.779,1.401,0.113,1.015,0.101,0.497,24.91,2.247
2020,Dominican Republic,Latin America and Caribbean,5.689199924,0.741901696,1.328888893,0.112196781,0.983191848,0.115945682,0.5628739,24.91,2.247
2021,Dominican Republic,Latin America and Caribbean,5.545,0.555,0.879,0.101,1.106,0.144,0.581,24.75,2.247
2022,Dominican Republic,Latin America and Caribbean,5.737,0.577,1.003,0.084,1.538,0.179,0.606,24.57,2.247
2015,Ecuador,Latin America and Caribbean,5.975,0.79075,0.99903,0.11541,0.86402,0.1809,0.48574,22.14,2.003
2016,Ecuador,Latin America and Caribbean,5.976,0.68613,0.85974,0.10074,0.97306,0.18037,0.4027,21.96,2.003
2017,Ecuador,Latin America and Caribbean,6.007999897,0.685636222,1.286168814,0.150112465,1.000820398,0.140134647,0.455198199,21.76,2.003
2018,Ecuador,Latin America and Caribbean,5.973,0.736,1.33,0.114,0.889,0.12,0.556,21.53,2.003
2019,Ecuador,Latin America and Caribbean,6.028,0.868,1.312,0.126,0.912,0.087,0.498,22.0,2.003
2020,Ecuador,Latin America and Caribbean,5.925199986,0.838837743,1.221027613,0.115006477,0.853383601,0.086753383,0.555234551,21.81,2.003
2021,Ecuador,Latin America and Caribbean,5.764,0.64,0.806,0.107,0.935,0.062,0.56,21.42,2.003
2022,Ecuador,Latin America and Caribbean,5.533,0.708,0.879,0.08,1.352,0.083,0.565,21.07,2.003
2015,Egypt,Middle East and North Africa,4.194,0.61712,0.747,0.11291,0.8818,0.06324,0.17288,23.44,2.878
2016,Egypt,Middle East and North Africa,4.362,0.52116,0.49813,0.12706,0.95395,0.10393,0.18847,23.82,2.878
2017,Egypt,Middle East and North Africa,4.735000134,0.520187259,0.997471392,0.128631443,0.989701807,0.114381365,0.282110155,23.31,2.878
2018,Egypt,Middle East and North Africa,4.419,0.553,1.025,0.092,0.885,0.107,0.312,24.08,2.878
2019,Egypt,Middle East and North Africa,4.166,0.644,1.039,0.076,0.913,0.067,0.241,23.38,2.878
2020,Egypt,Middle East and North Africa,4.151400089,0.596911311,0.982539535,0.068801254,0.875228941,0.095461793,0.373684734,23.18,2.878
2021,Egypt,Middle East and North Africa,4.283,0.426,0.647,0.069,0.954,0.092,0.446,23.88,2.878
2022,Egypt,Middle East and North Africa,4.288,0.548,0.732,0.041,1.388,0.254,0.469,23.23,2.878
2015,El Salvador,Latin America and Caribbean,6.13,0.67737,1.02507,0.10692,0.76454,0.11776,0.4035,-1.0,1.785
2016,El Salvador,Latin America and Caribbean,6.068,0.596,0.80975,0.08877,0.8737,0.10613,0.37269,-1.0,1.785
2017,El Salvador,Latin America and Caribbean,6.002999783,0.596018553,1.182125092,0.078257985,0.909784496,0.08998096,0.43245253,-1.0,1.785
2018,El Salvador,Latin America and Caribbean,6.167,0.639,1.231,0.065,0.806,0.082,0.461,-1.0,1.785
2019,El Salvador,Latin America and Caribbean,6.253,0.789,1.242,0.093,0.794,0.074,0.43,-1.0,1.785
2020,El Salvador,Latin America and Caribbean,6.34829998,0.752730012,1.149397612,0.1189363,0.748940408,0.117030352,0.524043918,-1.0,1.785
2021,El Salvador,Latin America and Caribbean,6.061,0.565,0.675,0.116,0.845,0.16,0.615,-1.0,1.785
2022,El Salvador,Latin America and Caribbean,6.12,0.607,0.768,0.089,1.265,0.212,0.666,-1.0,1.785
2015,Estonia,Central and Eastern Europe,5.429,0.77361,1.22791,0.0868,1.15174,0.15184,0.44888,7.39,1.41
2016,Estonia,Central and Eastern Europe,5.517,0.68098,1.05163,0.08423,1.27964,0.18519,0.41511,6.48,1.41
2017,Estonia,Central and Eastern Europe,5.611000061,0.695168316,1.4766711,0.098890811,1.32087934,0.183248922,0.47913143,6.29,1.41
2018,Estonia,Central and Eastern Europe,5.739,0.737,1.532,0.086,1.2,0.174,0.553,7.02,1.41
2019,Estonia,Central and Eastern Europe,5.893,0.874,1.528,0.103,1.237,0.161,0.495,7.2,1.41
2020,Estonia,Central and Eastern Europe,6.021800041,0.842615008,1.453232527,0.125136748,1.192441225,0.201766819,0.576664805,8.14,1.41
2021,Estonia,Central and Eastern Europe,6.189,0.64,1.079,0.119,1.344,0.263,0.641,6.3,1.41
2022,Estonia,Central and Eastern Europe,6.341,0.728,1.232,0.123,1.793,0.333,0.689,6.9,1.41
2015,Ethiopia,Sub-Saharan Africa,4.512,0.44055,0.60406,0.24325,0.19073,0.15048,0.4345,23.94,4.063
2016,Ethiopia,Sub-Saharan Africa,4.508,0.34578,0.37932,0.29522,0.29283,0.1717,0.36703,23.92,4.063
2017,Ethiopia,Sub-Saharan Africa,4.460000038,0.353409708,0.864669204,0.31265074,0.339233845,0.165455714,0.408842742,23.64,4.063
2018,Ethiopia,Sub-Saharan Africa,4.35,0.391,0.95,0.22,0.308,0.146,0.452,23.26,4.063
2019,Ethiopia,Sub-Saharan Africa,4.286,0.532,1.033,0.209,0.336,0.1,0.344,23.42,4.063
2020,Ethiopia,Sub-Saharan Africa,4.186200142,0.483846247,1.001103282,0.227698103,0.315125644,0.117437035,0.41256687,23.35,4.063
2021,Ethiopia,Sub-Saharan Africa,4.275,0.331,0.679,0.241,0.37,0.114,0.451,23.41,4.063
2022,Ethiopia,Sub-Saharan Africa,4.241,0.457,0.809,0.205,0.788,0.136,0.472,23.45,4.063
2015,Finland,Western Europe,7.406,0.88911,1.31826,0.23351,1.29025,0.41372,0.64169,3.6,1.32
2016,Finland,Western Europe,7.413,0.81091,1.13464,0.25492,1.40598,0.41004,0.57104,2.97,1.32
2017,Finland,Western Europe,7.468999863,0.80915767,1.540246725,0.245482773,1.443571925,0.382611543,0.617950857,2.4,1.32
2018,Finland,Western Europe,7.632,0.874,1.592,0.202,1.305,0.393,0.681,3.1,1.32
2019,Finland,Western Europe,7.769,0.986,1.587,0.153,1.34,0.393,0.596,2.67,1.32
2020,Finland,Western Europe,7.808700085,0.961271405,1.499525905,0.159670442,1.285189509,0.477857262,0.66231674,4.15,1.32
2021,Finland,Western Europe,7.842,0.741,1.106,0.124,1.446,0.481,0.691,2.34,1.32
2022,Finland,Western Europe,7.821,0.775,1.258,0.109,1.892,0.534,0.736,3.24,1.32
2015,France,Western Europe,6.575,0.94579,1.26038,0.12332,1.27778,0.20646,0.55011,12.17,1.794
2016,France,Western Europe,6.478,0.83795,1.00508,0.1216,1.39488,0.17808,0.46562,11.74,1.794
2017,France,Western Europe,6.441999912,0.844465852,1.387776852,0.129762307,1.430923462,0.172502428,0.470222116,11.96,1.794
2018,France,Western Europe,6.489,0.908,1.466,0.098,1.293,0.176,0.52,12.64,1.794
2019,France,Western Europe,6.592,1.045,1.472,0.111,1.324,0.183,0.436,12.38,1.794
2020,France,Western Europe,6.663799763,1.029714227,1.458839178,0.112607703,1.268129349,0.227303237,0.514050901,12.73,1.794
2021,France,Western Europe,6.69,0.804,1.081,0.092,1.421,0.235,0.536,11.58,1.794
2022,France,Western Europe,6.687,0.808,1.219,0.07,1.863,0.266,0.567,13.16,1.794
2015,Gabon,Sub-Saharan Africa,3.896,0.43372,0.90528,0.06822,1.06024,0.11091,0.31914,25.38,3.46
2016,Gabon,Sub-Saharan Africa,4.121,0.3494,0.72368,0.06244,1.15851,0.09314,0.28098,25.67,3.46
2017,Gabon,Sub-Saharan Africa,4.465000153,0.356578588,1.155620217,0.043785378,1.198210239,0.076046787,0.312328577,25.33,3.46
2018,Gabon,Sub-Saharan Africa,4.758,0.404,1.164,0.032,1.036,0.052,0.356,25.54,3.46
2019,Gabon,Sub-Saharan Africa,4.799,0.571,1.183,0.043,1.057,0.055,0.295,25.41,3.46
2020,Gabon,Sub-Saharan Africa,4.829299927,0.522574842,1.10639751,0.052013602,0.988044381,0.055804539,0.369459897,25.73,3.46
2021,Gabon,Sub-Saharan Africa,4.852,0.362,0.707,0.058,1.037,0.064,0.424,25.66,3.46
2022,Gabon,Sub-Saharan Africa,4.958,0.396,0.738,0.032,1.459,0.099,0.343,25.46,3.46
2015,Georgia,Central and Eastern Europe,4.297,0.72926,0.38562,0.05547,0.7419,0.38331,0.40577,9.59,2.063
2016,Georgia,Central and Eastern Europe,4.252,0.64035,0.19249,0.06786,0.83792,0.3188,0.32461,9.16,2.063
2017,Georgia,Central and Eastern Europe,4.285999775,0.649546981,0.570614934,0.054008815,0.950612664,0.251666635,0.309410036,9.38,2.063
2018,Georgia,Central and Eastern Europe,4.34,0.643,0.592,0.038,0.853,0.215,0.375,10.55,2.063
2019,Georgia,Central and Eastern Europe,4.519,0.752,0.666,0.043,0.886,0.164,0.346,9.97,2.063
2020,Georgia,Central and Eastern Europe,4.672599792,0.694657624,0.7311939,0.047609735,0.847198069,0.174088076,0.485494107,9.91,2.063
2021,Georgia,Central and Eastern Europe,4.891,0.498,0.47,0.032,1.03,0.181,0.488,10.05,2.063
2022,Georgia,Central and Eastern Europe,4.973,0.595,0.612,0.04827836428571429,1.467,0.208,0.508,9.92,2.063
2015,Germany,Western Europe,6.75,0.89186,1.29937,0.28214,1.32792,0.21843,0.61477,10.32,1.455
2016,Germany,Western Europe,6.994,0.81487,1.09774,0.30452,1.44787,0.28551,0.53466,9.86,1.455
2017,Germany,Western Europe,6.951000214,0.798950732,1.472520351,0.33626917,1.487923384,0.276731938,0.562511384,9.91,1.455
2018,Germany,Western Europe,6.965,0.861,1.474,0.273,1.34,0.28,0.586,10.73,1.455
2019,Germany,Western Europe,6.985,0.987,1.454,0.261,1.373,0.265,0.495,10.54,1.455
2020,Germany,Western Europe,7.075799942,0.972114801,1.368543744,0.252037704,1.314184546,0.309362292,0.564274132,10.78,1.455
2021,Germany,Western Europe,7.155,0.757,0.993,0.195,1.48,0.306,0.6,9.49,1.455
2022,Germany,Western Europe,7.034,0.776,1.088,0.163,1.924,0.358,0.585,10.83,1.455
2015,Ghana,Sub-Saharan Africa,4.633,0.40132,0.67954,0.23087,0.54558,0.04355,0.42342,27.95,3.507
2016,Ghana,Sub-Saharan Africa,4.276,0.29681,0.49353,0.21203,0.63107,0.0326,0.40973,28.21,3.507
2017,Ghana,Sub-Saharan Africa,4.119999886,0.295637727,0.873664737,0.256923944,0.667224824,0.02533637,0.423026294,28.04,3.507
2018,Ghana,Sub-Saharan Africa,4.657,0.337,0.896,0.212,0.592,0.029,0.499,27.95,3.507
2019,Ghana,Sub-Saharan Africa,4.996,0.486,0.868,0.245,0.611,0.04,0.381,27.81,3.507
2020,Ghana,Sub-Saharan Africa,5.147999763,0.432162255,0.96636796,0.261291206,0.575862467,0.056570381,0.477290064,28.1,3.507
2021,Ghana,Sub-Saharan Africa,5.088,0.287,0.595,0.268,0.68,0.058,0.517,28.3,3.507
2022,Ghana,Sub-Saharan Africa,4.872,0.409,0.595,0.23,1.112,0.056,0.5,27.73,3.507
2015,Greece,Western Europe,4.857,0.88213,0.92933,0.015,1.15406,0.01397,0.07699,14.35,1.43
2016,Greece,Western Europe,5.033,0.80029,0.75473,0.015,1.24886,0.04127,0.05822,14.84,1.43
2017,Greece,Western Europe,5.227000237,0.810198903,1.239414573,0.015,1.289487481,0.043289777,0.095731251,14.51,1.43
2018,Greece,Western Europe,5.358,0.879,1.202,0.015,1.154,0.044,0.131,15.2,1.43
2019,Greece,Western Europe,5.287,0.999,1.156,0.015,1.181,0.034,0.067,15.16,1.43
2020,Greece,Western Europe,5.514999866,0.979431748,1.168973565,0.015,1.128070116,0.048844352,0.173516348,15.01,1.43
2021,Greece,Western Europe,5.723,0.76,0.811,0.015,1.273,0.074,0.243,15.09,1.43
2022,Greece,Western Europe,5.948,0.774,0.98,0.015,1.703,0.108,0.249,14.88,1.43
2015,Guatemala,Latin America and Caribbean,6.123,0.64425,1.04356,0.27489,0.74553,0.09472,0.57733,24.15,2.354
2016,Guatemala,Latin America and Caribbean,6.324,0.54039,0.87119,0.28808,0.83454,0.08701,0.50379,24.26,2.354
2017,Guatemala,Latin America and Caribbean,6.453999996,0.54023999,1.255585194,0.283488393,0.872001946,0.077223279,0.531310618,24.05,2.354
2018,Guatemala,Latin America and Caribbean,6.382,0.608,1.268,0.179,0.781,0.071,0.604,23.5,2.354
2019,Guatemala,Latin America and Caribbean,6.436,0.746,1.269,0.175,0.8,0.078,0.535,23.99,2.354
2020,Guatemala,Latin America and Caribbean,6.398900032,0.705952585,1.174267054,0.170611665,0.753815711,0.0983603,0.613146722,24.34,2.354
2021,Guatemala,Latin America and Caribbean,6.435,0.519,0.79,0.163,0.845,0.105,0.638,24.08,2.354
2022,Guatemala,Latin America and Caribbean,6.262,0.522,0.831,0.112,1.274,0.115,0.662,23.77,2.354
2015,Guinea,Sub-Saharan Africa,3.656,0.24009,0.46475,0.28657,0.17417,0.12139,0.37725,26.07,4.303
2016,Guinea,Sub-Saharan Africa,3.607,0.18829,0.3109,0.29914,0.22415,0.1192,0.30953,26.31,4.303
2017,Guinea,Sub-Saharan Africa,3.506999969,0.194129139,0.791244686,0.264815092,0.24454993,0.110937618,0.348587513,26.24,4.303
2018,Guinea,Sub-Saharan Africa,3.964,0.211,0.792,0.185,0.344,0.094,0.394,26.1,4.303
2019,Guinea,Sub-Saharan Africa,4.534,0.375,0.829,0.207,0.38,0.086,0.332,25.86,4.303
2020,Guinea,Sub-Saharan Africa,4.949299812,0.333655238,0.75136596,0.249490842,0.390007734,0.112204559,0.371878058,26.34,4.303
2021,Guinea,Sub-Saharan Africa,4.984,0.206,0.399,0.25,0.42,0.111,0.384,26.6,4.303
2022,Guinea,Sub-Saharan Africa,4.891,0.275,0.566,0.214,0.848,0.116,0.334,25.95,4.303
2015,Honduras,Latin America and Caribbean,4.788,0.6951,0.95348,0.23027,0.59532,0.06825,0.40148,25.15,2.34
2016,Honduras,Latin America and Caribbean,4.871,0.58383,0.75596,0.2044,0.69429,0.06906,0.26755,25.18,2.34
2017,Honduras,Latin America and Caribbean,5.181000233,0.58256948,1.143944979,0.236188874,0.730573118,0.073345453,0.34807986,25.0,2.34
2018,Honduras,Latin America and Caribbean,5.504,0.622,1.205,0.197,0.62,0.074,0.459,24.51,2.34
2019,Honduras,Latin America and Caribbean,5.86,0.828,1.236,0.246,0.642,0.078,0.507,24.96,2.34
2020,Honduras,Latin America and Caribbean,5.953199863,0.791989982,1.186664104,0.256528199,0.598763585,0.086807102,0.568148077,25.21,2.34
2021,Honduras,Latin America and Caribbean,5.919,0.593,0.787,0.241,0.703,0.083,0.578,25.03,2.34
2022,Honduras,Latin America and Caribbean,6.022,0.555,0.885,0.202,1.111,0.076,0.582,24.71,2.34
2015,Hong Kong,East Asia,5.474,1.01328,1.05818,0.39478,1.38604,0.37124,0.59608,-1.0,0.701
2016,Hong Kong,East Asia,5.458,0.95277,0.87021,0.40097,1.5107,0.31647,0.48079,-1.0,0.701
2017,Hong Kong,East Asia,5.472000122,0.943062425,1.262790918,0.374465793,1.551674843,0.293933749,0.490968645,-1.0,0.701
2018,Hong Kong,East Asia,5.43,1.03,1.29,0.246,1.405,0.291,0.524,-1.0,0.701
2019,Hong Kong,East Asia,5.43,1.122,1.277,0.258,1.438,0.287,0.44,-1.0,0.701
2020,Hong Kong,East Asia,5.510399818,1.136630654,1.243584275,0.288280904,1.376746058,0.332485437,0.459356517,-1.0,0.701
2021,Hong Kong,East Asia,5.477,0.893,0.841,0.232,1.525,0.342,0.408,-1.0,0.701
2022,Hong Kong,East Asia,5.425,0.942,0.954,0.147,1.957,0.383,0.4,-1.0,0.701
2015,Hungary,Central and Eastern Europe,4.8,0.75905,1.20215,0.128,1.12094,0.02758,0.32112,12.4,1.52
2016,Hungary,Central and Eastern Europe,5.145,0.67608,0.93164,0.099,1.24142,0.04472,0.1977,11.79,1.52
2017,Hungary,Central and Eastern Europe,5.323999882,0.687763453,1.343133092,0.078401662,1.286011934,0.036636937,0.175863519,11.86,1.52
2018,Hungary,Central and Eastern Europe,5.62,0.732,1.401,0.061,1.171,0.022,0.259,12.72,1.52
2019,Hungary,Central and Eastern Europe,5.758,0.828,1.41,0.081,1.201,0.02,0.199,12.86,1.52
2020,Hungary,Central and Eastern Europe,6.000400066,0.806793869,1.423009396,0.070491239,1.164307117,0.027548173,0.386401802,12.24,1.52
2021,Hungary,Central and Eastern Europe,5.992,0.615,1.083,0.067,1.301,0.04,0.454,11.58,1.52
2022,Hungary,Central and Eastern Europe,6.086,0.668,1.233,0.078,1.748,0.064,0.485,12.62,1.52
2015,Iceland,Western Europe,7.561,0.94784,1.40223,0.4363,1.30232,0.14145,0.62877,1.44,1.589
2016,Iceland,Western Europe,7.501,0.86733,1.18326,0.47678,1.42666,0.14975,0.56624,2.68,1.589
2017,Iceland,Western Europe,7.504000187,0.833552122,1.610574007,0.475540221,1.48063302,0.153526559,0.627162635,2.47,1.589
2018,Iceland,Western Europe,7.495,0.914,1.644,0.353,1.343,0.138,0.677,2.26,1.589
2019,Iceland,Western Europe,7.494,1.026,1.624,0.354,1.38,0.118,0.591,2.31,1.589
2020,Iceland,Western Europe,7.504499912,1.000843406,1.547567487,0.362330228,1.326501608,0.144540772,0.661980748,2.03,1.589
2021,Iceland,Western Europe,7.554,0.772,1.172,0.293,1.482,0.17,0.698,2.43,1.589
2022,Iceland,Western Europe,7.557,0.803,1.32,0.27,1.936,0.191,0.718,2.11,1.589
2015,India,South Asia,4.565,0.51529,0.38174,0.26475,0.64499,0.08492,0.39786,-1.0,2.011
2016,India,South Asia,4.404,0.45091,0.29247,0.25028,0.74036,0.08722,0.40285,-1.0,2.011
2017,India,South Asia,4.315000057,0.455427617,0.754372597,0.231538489,0.792221248,0.092226885,0.469987005,-1.0,2.011
2018,India,South Asia,4.19,0.485,0.747,0.172,0.721,0.093,0.539,-1.0,2.011
2019,India,South Asia,4.015,0.588,0.765,0.2,0.755,0.085,0.498,-1.0,2.011
2020,India,South Asia,3.573299885,0.54057014,0.644198656,0.237072483,0.730576158,0.105587982,0.581142247,-1.0,2.011
2021,India,South Asia,3.819,0.383,0.316,0.246,0.741,0.106,0.622,-1.0,2.011
2022,India,South Asia,3.777,0.471,0.376,0.198,1.167,0.123,0.647,-1.0,2.011
2015,Indonesia,Southeast Asia,5.399,0.63793,1.08708,0.51535,0.82827,0.027973678285714287,0.46611,26.13,2.153
2016,Indonesia,Southeast Asia,5.314,0.49374,0.87625,0.56521,0.95104,0.00322,0.39237,26.24,2.153
2017,Indonesia,Southeast Asia,5.262000084,0.492345721,1.274444699,0.611704588,0.995538592,0.015317135,0.443323463,26.05,2.153
2018,Indonesia,Southeast Asia,5.093,0.522,1.215,0.484,0.899,0.018,0.538,26.06,2.153
2019,Indonesia,Southeast Asia,5.192,0.66,1.203,0.498,0.931,0.028,0.491,26.21,2.153
2020,Indonesia,Southeast Asia,5.285600185,0.610437036,1.154800892,0.542646527,0.891720712,0.038278613,0.568161428,26.2,2.153
2021,Indonesia,Southeast Asia,5.345,0.433,0.786,0.541,0.954,0.046,0.598,26.01,2.153
2022,Indonesia,Southeast Asia,5.24,0.539,0.883,0.468,1.382,0.047,0.62,25.96,2.153
2015,Iran,Middle East and North Africa,4.686,0.69805,0.54447,0.38086,1.0088,0.05863,0.30033,18.93,1.681
2016,Iran,Middle East and North Africa,4.813,0.64232,0.38857,0.38538,1.11758,0.0557,0.22544,19.03,1.681
2017,Iran,Middle East and North Africa,4.691999912,0.639333189,0.711551249,0.387242913,1.156873107,0.048761073,0.249322608,18.84,1.681
2018,Iran,Middle East and North Africa,4.707,0.691,0.771,0.282,1.059,0.129,0.459,19.34,1.681
2019,Iran,Middle East and North Africa,4.548,0.785,0.842,0.27,1.1,0.125,0.305,18.84,1.681
2020,Iran,Middle East and North Africa,4.672399998,0.749053836,0.886271179,0.27697894,1.029322505,0.142651513,0.301195472,18.38,1.681
2021,Iran,Middle East and North Africa,4.721,0.561,0.557,0.33,1.03,0.144,0.275,19.57,1.681
2022,Iran,Middle East and North Africa,4.888,0.642,0.741,0.241,1.41,0.146,0.281,19.3,1.681
2015,Iraq,Middle East and North Africa,4.677,0.60237,0.81889,0.17922,0.98549,0.13788,0.28510051214285714,23.53,3.445
2016,Iraq,Middle East and North Africa,4.575,0.51076,0.59205,0.19589,1.07474,0.13636,0.24856,23.31,3.445
2017,Iraq,Middle East and North Africa,4.497000217,0.50118047,0.978613198,0.199637264,1.102710485,0.107215755,0.288555533,23.36,3.445
2018,Iraq,Middle East and North Africa,4.456,0.536,0.971,0.148,1.01,0.095,0.304,24.15,3.445
2019,Iraq,Middle East and North Africa,4.437,0.574,0.98,0.148,1.043,0.089,0.241,23.51,3.445
2020,Iraq,Middle East and North Africa,4.784800053,0.529350698,1.011466622,0.153002068,0.982018709,0.073164992,0.283588052,23.44,3.445
2021,Iraq,Middle East and North Africa,4.854,0.381,0.638,0.153,0.91,0.041,0.302,24.21,3.445
2022,Iraq,Middle East and North Africa,4.941,0.554,0.682,0.147,1.289,0.046,0.328,23.81,3.445
2015,Ireland,Western Europe,6.94,0.89533,1.36948,0.45901,1.33596,0.28703,0.61777,-1.0,1.7
2016,Ireland,Western Europe,6.907,0.81455,1.16157,0.44963,1.48341,0.29754,0.54008,-1.0,1.7
2017,Ireland,Western Europe,6.977000237,0.809782624,1.558231115,0.427858323,1.535706639,0.298388153,0.573110342,-1.0,1.7
2018,Ireland,Western Europe,6.977,0.876,1.583,0.307,1.448,0.306,0.614,-1.0,1.7
2019,Ireland,Western Europe,7.021,0.999,1.553,0.298,1.499,0.31,0.516,-1.0,1.7
2020,Ireland,Western Europe,7.093699932,0.975670695,1.470596433,0.295426995,1.446886778,0.373433262,0.587779939,-1.0,1.7
2021,Ireland,Western Europe,7.085,0.753,1.092,0.238,1.644,0.367,0.606,-1.0,1.7
2022,Ireland,Western Europe,7.041,0.779,1.166,0.19,2.129,0.408,0.627,-1.0,1.7
2015,Israel,Middle East and North Africa,7.278,0.91387,1.22393,0.33172,1.22857,0.07785,0.41319,20.29,2.89
2016,Israel,Middle East and North Africa,7.267,0.84917,0.99537,0.32288,1.33766,0.08728,0.36432,20.67,2.89
2017,Israel,Middle East and North Africa,7.212999821,0.838404,1.376289964,0.330082655,1.375382423,0.0852421,0.405988604,20.31,2.89
2018,Israel,Middle East and North Africa,6.814,0.883,1.559,0.354,1.301,0.272,0.533,20.99,2.89
2019,Israel,Middle East and North Africa,7.139,1.029,1.455,0.261,1.276,0.082,0.371,20.42,2.89
2020,Israel,Middle East and North Africa,7.128600121,1.008052945,1.403256774,0.266861796,1.216463685,0.09989845,0.420699477,20.41,2.89
2021,Israel,Middle East and North Africa,7.157,0.788,1.074,0.208,1.376,0.119,0.509,20.86,2.89
2022,Israel,Middle East and North Africa,7.364,0.818,1.221,0.155,1.826,0.143,0.568,20.23,2.89
2015,Italy,Western Europe,5.948,0.95446,1.19777,0.22823,1.25114,0.02901,0.26236,13.8,1.24
2016,Italy,Western Europe,5.977,0.85102,1.04167,0.16684,1.35495,0.02556,0.18827,13.58,1.24
2017,Italy,Western Europe,5.964000225,0.853144348,1.444923282,0.172789648,1.395066619,0.028028091,0.256450713,13.46,1.24
2018,Italy,Western Europe,6.0,0.946,1.501,0.137,1.264,0.028,0.281,14.1,1.24
2019,Italy,Western Europe,6.223,1.039,1.488,0.158,1.294,0.03,0.231,13.94,1.24
2020,Italy,Western Europe,6.38740015,1.022504926,1.347296,0.170266211,1.236396074,0.040145598,0.321305573,13.83,1.24
2021,Italy,Western Europe,6.483,0.798,0.94,0.133,1.393,0.047,0.379,13.52,1.24
2022,Italy,Western Europe,6.467,0.801,1.052,0.085,1.834,0.059,0.412,14.38,1.24
2015,Ivory Coast,Sub-Saharan Africa,3.655,0.15185,0.77115,0.20165,0.46534,0.17922,0.46866,27.03,4.342
2016,Ivory Coast,Sub-Saharan Africa,3.916,0.04476,0.57576,0.20338,0.55507,0.1553,0.40663,27.31,4.342
2017,Ivory Coast,Sub-Saharan Africa,4.179999828,0.04864217,0.90478003,0.20123747,0.603048921,0.130061775,0.447706193,27.17,4.342
2018,Ivory Coast,Sub-Saharan Africa,4.671,0.08,0.872,0.146,0.541,0.103,0.467,27.02,4.342
2019,Ivory Coast,Sub-Saharan Africa,4.944,0.232,0.808,0.154,0.569,0.09,0.352,26.83,4.342
2020,Ivory Coast,Sub-Saharan Africa,5.233300209,0.154942513,0.799727261,0.169915587,0.537094414,0.093495794,0.397122532,27.18,4.342
